entity_key,class_name,display_name,package,module,extends,abstract,entity,schema,table,photo_adapter_required,existing_actions,custom_action_candidates,eligibility,eligibility_reason,source_path
ais.database.model.AbsenPiketMahasiswa,AbsenPiketMahasiswa,Absen Piket Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,absen_piket_mahasiswa,False,ais\action\master\AbsenPiketMahasiswaAction.java,onAbsen|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\AbsenPiketMahasiswa.java
ais.database.model.AfiliasiCalonMahasiswa,AfiliasiCalonMahasiswa,Afiliasi Calon Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,afiliasi_calon_mahasiswa,False,ais\action\master\AfiliasiCalonMahasiswaAction.java,onDosen|onMahasiswa|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\AfiliasiCalonMahasiswa.java
ais.database.model.Agama,Agama,Agama,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,agama,False,ais\action\master\AgamaAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\Agama.java
ais.database.model.Akreditasi,Akreditasi,Akreditasi,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,akreditasi,False,ais\action\master\AkreditasiAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\Akreditasi.java
ais.database.model.AlatTransportasiMahasiswa,AlatTransportasiMahasiswa,Alat Transportasi Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,alat_transportasi_mahasiswa,False,ais\action\master\AlatTransportasiMahasiswaAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\AlatTransportasiMahasiswa.java
ais.database.model.AngkatanKurikulum,AngkatanKurikulum,Angkatan Kurikulum,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,angkatan_kurikulum,False,ais\action\master\AngkatanKurikulumAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\AngkatanKurikulum.java
ais.database.model.AngketPenilaianDosen,AngketPenilaianDosen,Angket Penilaian Dosen,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,angket_penilaian_dosen,False,ais\action\master\AngketPenilaianDosenAction.java,onAngketAngketUmum|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\AngketPenilaianDosen.java
ais.database.model.AngketPenilaianUmum,AngketPenilaianUmum,Angket Penilaian Umum,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,angket_penilaian_umum,False,ais\action\master\AngketPenilaianUmumAction.java,onAngketAngketUmum|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\AngketPenilaianUmum.java
ais.database.model.AsesorNilai,AsesorNilai,Asesor Nilai,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,asesor_nilai,False,ais\action\master\bkd\AsesorNilaiAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\AsesorNilai.java
ais.database.model.AsesorPegawai,AsesorPegawai,Asesor Pegawai,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,asesor_pegawai,False,ais\action\master\bkd\helper\AsesorPegawaiAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\AsesorPegawai.java
