module,eligibility,count
akunting,ELIGIBLE_METADATA_FIRST,3
akunting,REVIEW_REQUIRED,35
antarjemput,ELIGIBLE_METADATA_FIRST,7
antarjemput,REVIEW_REQUIRED,1
asset,ELIGIBLE_METADATA_FIRST,11
asset,REVIEW_REQUIRED,52
beasiswa,ELIGIBLE_METADATA_FIRST,3
beasiswa,REVIEW_REQUIRED,1
bni,REVIEW_REQUIRED,4
bri,REVIEW_REQUIRED,4
bsi,REVIEW_REQUIRED,4
cimb,REVIEW_REQUIRED,4
config,ELIGIBLE_METADATA_FIRST,1
doku,REVIEW_REQUIRED,4
employ,ELIGIBLE_METADATA_FIRST,7
employ,ELIGIBLE_PARITY_FIRST,12
employ,REVIEW_REQUIRED,37
epsbed,REVIEW_REQUIRED,15
faspay,REVIEW_REQUIRED,4
file,EXCLUDED_ABSTRACT,2
file,REVIEW_REQUIRED,45
finpay,REVIEW_REQUIRED,4
inventory,ELIGIBLE_METADATA_FIRST,15
inventory,REVIEW_REQUIRED,8
ipaymu,REVIEW_REQUIRED,4
jatelindo,REVIEW_REQUIRED,4
kedokteran,ELIGIBLE_METADATA_FIRST,4
kkn,ELIGIBLE_METADATA_FIRST,4
kkn,REVIEW_REQUIRED,3
koperasi,ELIGIBLE_METADATA_FIRST,8
koperasi,REVIEW_REQUIRED,23
kpi,ELIGIBLE_METADATA_FIRST,3
kpi,REVIEW_REQUIRED,9
kursus,ELIGIBLE_METADATA_FIRST,9
kursus,REVIEW_REQUIRED,13
library,ELIGIBLE_METADATA_FIRST,12
library,REVIEW_REQUIRED,66
lkp,ELIGIBLE_METADATA_FIRST,3
lkp,REVIEW_REQUIRED,6
obe,ELIGIBLE_METADATA_FIRST,1
obe,REVIEW_REQUIRED,6
ojs,REVIEW_REQUIRED,6
payroll,ELIGIBLE_METADATA_FIRST,7
payroll,REVIEW_REQUIRED,35
penelitiandanpengabdian,ELIGIBLE_METADATA_FIRST,7
penelitiandanpengabdian,ELIGIBLE_PARITY_FIRST,1
penelitiandanpengabdian,REVIEW_REQUIRED,11
pkl,ELIGIBLE_METADATA_FIRST,4
pkl,REVIEW_REQUIRED,3
rab,ELIGIBLE_METADATA_FIRST,16
rab,REVIEW_REQUIRED,29
recruitment,ELIGIBLE_METADATA_FIRST,3
recruitment,REVIEW_REQUIRED,10
repository,ELIGIBLE_METADATA_FIRST,4
root,ELIGIBLE_METADATA_FIRST,131
root,EXCLUDED_ABSTRACT,7
root,REVIEW_REQUIRED,337
sapto,REVIEW_REQUIRED,7
sekolah,ELIGIBLE_METADATA_FIRST,36
sekolah,EXCLUDED_ABSTRACT,1
sekolah,REVIEW_REQUIRED,117
sirkulasisurat,REVIEW_REQUIRED,5
sirs,ELIGIBLE_METADATA_FIRST,34
sirs,REVIEW_REQUIRED,76
sisdes,REVIEW_REQUIRED,1
sister,REVIEW_REQUIRED,87
sop,ELIGIBLE_METADATA_FIRST,2
sop,EXCLUDED_ABSTRACT,1
sop,REVIEW_REQUIRED,9
sosial,REVIEW_REQUIRED,5
spi,REVIEW_REQUIRED,9
spmi,ELIGIBLE_METADATA_FIRST,2
spmi,REVIEW_REQUIRED,6
streaming,REVIEW_REQUIRED,2
surat,ELIGIBLE_METADATA_FIRST,9
surat,REVIEW_REQUIRED,19
temp,REVIEW_REQUIRED,2
temporary,ELIGIBLE_METADATA_FIRST,1
ticket,ELIGIBLE_METADATA_FIRST,3
