entity_key,class_name,display_name,package,module,extends,abstract,entity,schema,table,photo_adapter_required,existing_actions,custom_action_candidates,eligibility,eligibility_reason,source_path
ais.database.model.BiodataCalonMahasiswa,BiodataCalonMahasiswa,Biodata Calon Mahasiswa,ais.database.model,root,ais.database.model.VOMahasiswa,False,True,public,biodata_calon_mahasiswa,True,ais\action\master\BiodataCalonMahasiswaAction.java|ais\action\master\pmb\BiodataCalonMahasiswaAction.java,onEvent|onCetakKartu,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\BiodataCalonMahasiswa.java
ais.database.model.Dosen,Dosen,Dosen,ais.database.model,root,ais.database.model.Karyawan,False,True,public,dosen,True,ais\action\master\DosenAction.java,onUploadRfid|onDownloadRfid|onEvent|onDataSK|onStatistik|onKegiatanKedosenan|onDataDosen|onKonfigurasiBiodataDosen|onUploadDBF|onDownloadFoto|onLaporanSkDosen|onLaporanPerDosen|onLaporanDosenHarian|onLaporanRuangDosen|onRekapDosenTetap|onRekapDosenTetapPerFakultasDanPerProdi|onLaporanRekapDosenPerFakultasDanPerProdi|onRekapDosenTidakTetap|onRekapJumlahDosen|onRekapJumlahDosenPerPendidikan|onDownloadFotoMassal|onUploadFotoMassal,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\Dosen.java
ais.database.model.DspaceInformation,DspaceInformation,Dspace Information,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,dspace_information,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\DspaceInformation.java
ais.database.model.Fakultas,Fakultas,Fakultas,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,fakultas,True,ais\action\master\FakultasAction.java,onEvent,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\Fakultas.java
ais.database.model.Jurusan,Jurusan,Jurusan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jurusan,True,ais\action\master\JurusanAction.java,onEvent|onAkreditasi|onKonsentrasi|onCapaianPembelajaranLulusan|onJenisCapaianPembelajaranLulusan|onInfo,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\Jurusan.java
ais.database.model.Mahasiswa,Mahasiswa,Mahasiswa,ais.database.model,root,ais.database.model.VOMahasiswa,False,True,public,mahasiswa,True,ais\action\master\MahasiswaAction.java|ais\action\master\alumni\MahasiswaAction.java,onStatistik|onDownloadLampiran|onEvent|onDownloadFoto|onDownloadFotoMassal|onUploadFotoMassal|onUploadPassword|onUploadUKT|onUploadStatus|onDownloadPassword|onUploadRfid|onDownloadRfid|onSynchronizeStatus|onSuratMahasiswa|onAlbumMahasiswa|onRekapJumlahMahasiswa|onDataMahasiswa|onTampilKHS|onTampilTranskripAkademik|onTampilPrestasi|onKartuMahasiswa|onKegiatanKemahasiswaan|onKegiatanMahasiswa|onOperatorSeluler|onAlatTransport|onJenisTinggal|onPekerjaanOrtu|onPenghasilanOrtu|onPendidikanOrtu|onFormTambahan|onPerkuliahanMahasiswa|onManajemenKelas|onManajemenKelompok|onManajemenKelompokStatus|onManajemenProgram|onManajemenKelompokStatusKeluar|onManajemenAsrama|onManajemenDosenPA|onImport|onAddExternal|onBukaPencarianLanjut|onTutupPencarianLanjut|onTerapkanPencarianLanjut|onDashboardAlumni|onGaleriFoto|onParameterAlumni|onRekapJumlahAlumni|onGrafikJumlahAlumni,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\Mahasiswa.java
ais.database.model.ParameterTambahanAstract,ParameterTambahanAstract,Parameter Tambahan Astract,ais.database.model,root,ais.database.model.GeneralValueObject,True,False,,,True,,,EXCLUDED_ABSTRACT,Class abstract,ais\database\model\ParameterTambahanAstract.java
ais.database.model.Pegawai,Pegawai,Pegawai,ais.database.model,root,ais.database.model.Karyawan,False,True,public,pegawai,True,ais\action\master\PegawaiAction.java|ais\action\master\bkd\PegawaiAction.java,onUploadRfid|onDownloadRfid|onEvent|onKartuPegawai|onSatuanKerja|onDownloadFoto|onDownloadFotoMassal|onUploadFotoMassal|onAddDosen|onAddGuru|onLoadData,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\Pegawai.java
ais.database.model.PerguruanTinggi,PerguruanTinggi,Perguruan Tinggi,ais.database.model,root,ais.database.model.VoKunci,False,True,public,perguruan_tinggi,True,ais\action\master\PerguruanTinggiAction.java,onEvent,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\PerguruanTinggi.java
ais.database.model.Pertemuan,Pertemuan,Pertemuan,ais.database.model,root,ais.database.model.Tugas,False,True,public,pertemuan,True,ais\action\maintenance\PertemuanAction.java|ais\action\master\PertemuanAction.java,onTampilPanelIkut|onRekapPertemuanPerkuliahan|onKegiatanMahasiswa|onPerkuliahanSp|onEkstrakurikuler|onParameterPertemuanPerkuliahan|onPraPerkuliahan|onDownloadLampiran|onEvent|onJadwalRemedial,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\Pertemuan.java
